Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2016/7/19,890097,60775,201384,33244,241384,127018,293879,29381,88661,87803,33512,137661,829041,859003,61056,31095
2016/7/26,798270,53671,192603,31963,228753,117200,284772,27842,63628,77012,28437,115443,743690,773907,54580,24363
2016/8/2,845903,53142,203994,33139,238659,123159,297024,29735,65310,88045,29070,126467,786285,816393,59618,29510
2016/8/9,823554,51333,191505,29996,229523,125807,287090,31317,67342,84130,27182,120450,766148,793126,57405,30428
2016/8/16,837871,51605,195157,30519,227102,128988,283303,29627,72990,84672,25910,127058,779135,806832,58736,31039
2016/8/23,832258,45366,188574,29246,232099,127126,289936,24982,73874,83362,25617,126929,775838,799200,56420,33058
2016/8/30,779556,42724,180835,30487,210266,118647,269964,31812,67514,79533,25977,112457,721325,747508,58230,32048
2016/9/6,831338,43402,200088,23709,219560,128876,301769,22775,69510,85634,34505,120068,772968,795381,58371,35958
2016/9/13,806108,44269,195475,26675,204805,129554,274579,25721,70153,85372,31904,117119,747721,774732,58387,31376
2016/9/20,793177,44466,185146,31258,198838,129874,248089,28955,67314,84074,30553,122256,727332,762936,65846,30242
2016/9/27,792666,44192,196901,29065,210846,127255,286710,24818,57820,82059,32829,108995,736095,759463,56570,33202
2016/10/4,761990,47511,175961,28058,189302,114733,244662,39486,67357,84595,28124,114687,701604,729651,60386,32339
2016/10/11,731252,50037,163608,32281,156884,112589,201353,47577,71478,84856,28035,118875,671470,699046,59782,32206
2016/10/18,728151,51176,157100,32998,147333,114755,189243,51983,75479,86275,28640,121415,671341,696705,56809,31445
2016/10/25,736562,49841,161085,31825,155178,116703,200568,48761,76760,87997,27390,117847,681541,703725,55021,32837
